Month,Group,Reason,State,Count,record_type
2024-02-01,Interpersonal,Interpersonal Relationships,NSW,11311.0,group_total
2024-02-01,Health,Health,NSW,5292.0,group_total
2024-02-01,Other,Other,NSW,6653.0,group_total
2024-02-01,Not stated,Not stated,NSW,217.0,group_total
2024-02-01,Total,Total Clients,NSW,23822.0,group_total
2024-01-01,Accommodation,Accommodation,NSW,12871.0,group_total
2024-01-01,Financial,Financial,NSW,11377.0,group_total
2024-01-01,Interpersonal,Interpersonal Relationships,NSW,11111.0,group_total
2024-01-01,Health,Health,NSW,5310.0,group_total
2024-01-01,Other,Other,NSW,6307.0,group_total
2024-01-01,Not stated,Not stated,NSW,236.0,group_total
2024-01-01,Total,Total Clients,NSW,23238.0,group_total
2023-12-01,Accommodation,Accommodation,NSW,12244.0,group_total
2023-12-01,Financial,Financial,NSW,11077.0,group_total
2023-12-01,Interpersonal,Interpersonal Relationships,NSW,10750.0,group_total
2023-12-01,Health,Health,NSW,5245.0,group_total
2023-12-01,Other,Other,NSW,6173.0,group_total
2023-12-01,Not stated,Not stated,NSW,214.0,group_total
2023-12-01,Total,Total Clients,NSW,22753.0,group_total
2023-11-01,Accommodation,Accommodation,NSW,12912.0,group_total
2023-11-01,Financial,Financial,NSW,11505.0,group_total
2023-11-01,Interpersonal,Interpersonal Relationships,NSW,11287.0,group_total
2023-11-01,Health,Health,NSW,5551.0,group_total
2023-11-01,Other,Other,NSW,6773.0,group_total
2023-11-01,Not stated,Not stated,NSW,223.0,group_total
2023-11-01,Total,Total Clients,NSW,23956.0,group_total
2023-10-01,Accommodation,Accommodation,NSW,12855.0,group_total
2023-10-01,Financial,Financial,NSW,11500.0,group_total
2023-10-01,Interpersonal,Interpersonal Relationships,NSW,11139.0,group_total
2023-10-01,Health,Health,NSW,5533.0,group_total
2023-10-01,Other,Other,NSW,6642.0,group_total
2023-10-01,Not stated,Not stated,NSW,253.0,group_total
2023-10-01,Total,Total Clients,NSW,23667.0,group_total
2023-09-01,Accommodation,Accommodation,NSW,12800.0,group_total
2023-09-01,Financial,Financial,NSW,11549.0,group_total
2023-09-01,Interpersonal,Interpersonal Relationships,NSW,11005.0,group_total
2023-09-01,Health,Health,NSW,5524.0,group_total
2023-09-01,Other,Other,NSW,6650.0,group_total
2023-09-01,Not stated,Not stated,NSW,286.0,group_total
2023-09-01,Total,Total Clients,NSW,23617.0,group_total
2023-08-01,Accommodation,Accommodation,NSW,13152.0,group_total
2023-08-01,Financial,Financial,NSW,11980.0,group_total
2023-08-01,Interpersonal,Interpersonal Relationships,NSW,11150.0,group_total
2023-08-01,Health,Health,NSW,5739.0,group_total
2023-08-01,Other,Other,NSW,6770.0,group_total
2023-08-01,Not stated,Not stated,NSW,315.0,group_total
2023-08-01,Total,Total Clients,NSW,24079.0,group_total
2023-07-01,Accommodation,Accommodation,NSW,12913.0,group_total
2023-07-01,Financial,Financial,NSW,11766.0,group_total
2023-07-01,Interpersonal,Interpersonal Relationships,NSW,10862.0,group_total
2023-07-01,Health,Health,NSW,5742.0,group_total
2023-07-01,Other,Other,NSW,6636.0,group_total
2023-07-01,Not stated,Not stated,NSW,298.0,group_total
2023-07-01,Total,Total Clients,NSW,23574.0,group_total
2023-06-01,Accommodation,Accommodation,NSW,12949.0,group_total
2023-06-01,Financial,Financial,NSW,11695.0,group_total
2023-06-01,Interpersonal,Interpersonal Relationships,NSW,10886.0,group_total
2023-06-01,Health,Health,NSW,5734.0,group_total
2023-06-01,Other,Other,NSW,6702.0,group_total
2023-06-01,Not stated,Not stated,NSW,269.0,group_total
2023-06-01,Total,Total Clients,NSW,23673.0,group_total
2023-05-01,Accommodation,Accommodation,NSW,13106.0,group_total
2023-05-01,Financial,Financial,NSW,11889.0,group_total
2023-05-01,Interpersonal,Interpersonal Relationships,NSW,11245.0,group_total
2023-05-01,Health,Health,NSW,5815.0,group_total
2023-05-01,Other,Other,NSW,6851.0,group_total
2023-05-01,Not stated,Not stated,NSW,248.0,group_total
2023-05-01,Total,Total Clients,NSW,24069.0,group_total
2023-04-01,Accommodation,Accommodation,NSW,12573.0,group_total
2023-04-01,Financial,Financial,NSW,11241.0,group_total
2023-04-01,Interpersonal,Interpersonal Relationships,NSW,10842.0,group_total
2023-04-01,Health,Health,NSW,5516.0,group_total
2023-04-01,Other,Other,NSW,6435.0,group_total
2023-04-01,Not stated,Not stated,NSW,251.0,group_total
2023-04-01,Total,Total Clients,NSW,23050.0,group_total
2023-03-01,Accommodation,Accommodation,NSW,13488.0,group_total
2023-03-01,Financial,Financial,NSW,11797.0,group_total
2023-03-01,Interpersonal,Interpersonal Relationships,NSW,11714.0,group_total
2023-03-01,Health,Health,NSW,5770.0,group_total
2023-03-01,Other,Other,NSW,6820.0,group_total
2023-03-01,Not stated,Not stated,NSW,272.0,group_total
2023-03-01,Total,Total Clients,NSW,24792.0,group_total
2023-02-01,Accommodation,Accommodation,NSW,12941.0,group_total
2023-02-01,Financial,Financial,NSW,11233.0,group_total
2023-02-01,Interpersonal,Interpersonal Relationships,NSW,11415.0,group_total
2023-02-01,Health,Health,NSW,5442.0,group_total
2023-02-01,Other,Other,NSW,6640.0,group_total
2023-02-01,Not stated,Not stated,NSW,256.0,group_total
2023-02-01,Total,Total Clients,NSW,23999.0,group_total
2023-01-01,Accommodation,Accommodation,NSW,12565.0,group_total
2023-01-01,Financial,Financial,NSW,10600.0,group_total
2023-01-01,Interpersonal,Interpersonal Relationships,NSW,10870.0,group_total
2023-01-01,Health,Health,NSW,5230.0,group_total
2023-01-01,Other,Other,NSW,6365.0,group_total
2023-01-01,Not stated,Not stated,NSW,252.0,group_total
2023-01-01,Total,Total Clients,NSW,22942.0,group_total
2022-12-01,Accommodation,Accommodation,NSW,12146.0,group_total
2022-12-01,Financial,Financial,NSW,10234.0,group_total
2022-12-01,Interpersonal,Interpersonal Relationships,NSW,10486.0,group_total
2022-12-01,Health,Health,NSW,5142.0,group_total
2022-12-01,Other,Other,NSW,6353.0,group_total
2022-12-01,Not stated,Not stated,NSW,264.0,group_total
2022-12-01,Total,Total Clients,NSW,22452.0,group_total
2022-11-01,Accommodation,Accommodation,NSW,12925.0,group_total
2022-11-01,Financial,Financial,NSW,10663.0,group_total
2022-11-01,Interpersonal,Interpersonal Relationships,NSW,10954.0,group_total
2022-11-01,Health,Health,NSW,5293.0,group_total
2022-11-01,Other,Other,NSW,6633.0,group_total
2022-11-01,Not stated,Not stated,NSW,289.0,group_total
2022-11-01,Total,Total Clients,NSW,23572.0,group_total
2022-10-01,Accommodation,Accommodation,NSW,12620.0,group_total
2022-10-01,Financial,Financial,NSW,10276.0,group_total
2022-10-01,Interpersonal,Interpersonal Relationships,NSW,10891.0,group_total
2022-10-01,Health,Health,NSW,5294.0,group_total
2022-10-01,Other,Other,NSW,6520.0,group_total
2022-10-01,Not stated,Not stated,NSW,295.0,group_total
2022-10-01,Total,Total Clients,NSW,23047.0,group_total
2022-09-01,Accommodation,Accommodation,NSW,12693.0,group_total
2022-09-01,Financial,Financial,NSW,10367.0,group_total
2022-09-01,Interpersonal,Interpersonal Relationships,NSW,10945.0,group_total
2022-09-01,Health,Health,NSW,5328.0,group_total
2022-09-01,Other,Other,NSW,6602.0,group_total
2022-09-01,Not stated,Not stated,NSW,262.0,group_total
2022-09-01,Total,Total Clients,NSW,23123.0,group_total
2022-08-01,Accommodation,Accommodation,NSW,12654.0,group_total
2022-08-01,Financial,Financial,NSW,10578.0,group_total
2022-08-01,Interpersonal,Interpersonal Relationships,NSW,11052.0,group_total
2022-08-01,Health,Health,NSW,5470.0,group_total
2022-08-01,Other,Other,NSW,6889.0,group_total
2022-08-01,Not stated,Not stated,NSW,265.0,group_total
2022-08-01,Total,Total Clients,NSW,23510.0,group_total
2022-07-01,Accommodation,Accommodation,NSW,12498.0,group_total
