Month,Client_Group,State,Count
2024-04-01,At risk of homelessness,NSW,10639.0
2024-03-01,Indigenous,NSW,7823.0
2024-03-01,FDV,NSW,8274.0
2024-03-01,Mental health,NSW,8220.0
2024-03-01,Drug or alcohol issues,NSW,1743.0
2024-03-01,Financial assistance for accommodation,NSW,155.0
2024-03-01,Nights in emergency accommodation,NSW,50326.0
2024-03-01,Emergency accommodation,NSW,2335.0
2024-03-01,Homeless,NSW,12312.0
2024-03-01,At risk of homelessness,NSW,10997.0
2024-02-01,Indigenous,NSW,7702.0
2024-02-01,FDV,NSW,8375.0
2024-02-01,Mental health,NSW,8181.0
2024-02-01,Drug or alcohol issues,NSW,1712.0
2024-02-01,Financial assistance for accommodation,NSW,153.0
2024-02-01,Nights in emergency accommodation,NSW,46288.0
2024-02-01,Emergency accommodation,NSW,2355.0
2024-02-01,Homeless,NSW,12242.0
2024-02-01,At risk of homelessness,NSW,10911.0
2024-01-01,Indigenous,NSW,7372.0
2024-01-01,FDV,NSW,8211.0
2024-01-01,Mental health,NSW,8021.0
2024-01-01,Drug or alcohol issues,NSW,1731.0
2024-01-01,Financial assistance for accommodation,NSW,152.0
2024-01-01,Nights in emergency accommodation,NSW,47490.0
2024-01-01,Emergency accommodation,NSW,2302.0
2024-01-01,Homeless,NSW,12103.0
2024-01-01,At risk of homelessness,NSW,10489.0
2023-12-01,Indigenous,NSW,7221.0
2023-12-01,FDV,NSW,7908.0
2023-12-01,Mental health,NSW,7725.0
2023-12-01,Drug or alcohol issues,NSW,1650.0
2023-12-01,Financial assistance for accommodation,NSW,156.0
2023-12-01,Nights in emergency accommodation,NSW,47559.0
2023-12-01,Emergency accommodation,NSW,2195.0
2023-12-01,Homeless,NSW,11693.0
2023-12-01,At risk of homelessness,NSW,10420.0
2023-11-01,Indigenous,NSW,7585.0
2023-11-01,FDV,NSW,8351.0
2023-11-01,Mental health,NSW,8239.0
2023-11-01,Drug or alcohol issues,NSW,1795.0
2023-11-01,Financial assistance for accommodation,NSW,147.0
2023-11-01,Nights in emergency accommodation,NSW,47709.0
2023-11-01,Emergency accommodation,NSW,2359.0
2023-11-01,Homeless,NSW,12348.0
2023-11-01,At risk of homelessness,NSW,10877.0
2023-10-01,Indigenous,NSW,7557.0
2023-10-01,FDV,NSW,8220.0
2023-10-01,Mental health,NSW,8197.0
2023-10-01,Drug or alcohol issues,NSW,1787.0
2023-10-01,Financial assistance for accommodation,NSW,156.0
2023-10-01,Nights in emergency accommodation,NSW,47569.0
2023-10-01,Emergency accommodation,NSW,2305.0
2023-10-01,Homeless,NSW,12338.0
2023-10-01,At risk of homelessness,NSW,10679.0
2023-09-01,Indigenous,NSW,7530.0
2023-09-01,FDV,NSW,8112.0
2023-09-01,Mental health,NSW,8116.0
2023-09-01,Drug or alcohol issues,NSW,1797.0
2023-09-01,Financial assistance for accommodation,NSW,162.0
2023-09-01,Nights in emergency accommodation,NSW,47398.0
2023-09-01,Emergency accommodation,NSW,2311.0
2023-09-01,Homeless,NSW,12226.0
2023-09-01,At risk of homelessness,NSW,10754.0
2023-08-01,Indigenous,NSW,7752.0
2023-08-01,FDV,NSW,8320.0
2023-08-01,Mental health,NSW,8343.0
2023-08-01,Drug or alcohol issues,NSW,1854.0
2023-08-01,Financial assistance for accommodation,NSW,195.0
2023-08-01,Nights in emergency accommodation,NSW,48763.0
2023-08-01,Emergency accommodation,NSW,2356.0
2023-08-01,Homeless,NSW,12323.0
2023-08-01,At risk of homelessness,NSW,11049.0
2023-07-01,Indigenous,NSW,7589.0
2023-07-01,FDV,NSW,8037.0
2023-07-01,Mental health,NSW,8267.0
2023-07-01,Drug or alcohol issues,NSW,1841.0
2023-07-01,Financial assistance for accommodation,NSW,156.0
2023-07-01,Nights in emergency accommodation,NSW,47149.0
2023-07-01,Emergency accommodation,NSW,2273.0
2023-07-01,Homeless,NSW,11979.0
2023-07-01,At risk of homelessness,NSW,10891.0
2023-06-01,Indigenous,NSW,7623.0
2023-06-01,FDV,NSW,7987.0
2023-06-01,Mental health,NSW,8215.0
2023-06-01,Drug or alcohol issues,NSW,1767.0
2023-06-01,Financial assistance for accommodation,NSW,193.0
2023-06-01,Nights in emergency accommodation,NSW,46491.0
2023-06-01,Emergency accommodation,NSW,2252.0
2023-06-01,Homeless,NSW,11984.0
2023-06-01,At risk of homelessness,NSW,11061.0
2023-05-01,Indigenous,NSW,7727.0
2023-05-01,FDV,NSW,8264.0
2023-05-01,Mental health,NSW,8349.0
2023-05-01,Drug or alcohol issues,NSW,1822.0
2023-05-01,Financial assistance for accommodation,NSW,238.0
2023-05-01,Nights in emergency accommodation,NSW,48823.0
2023-05-01,Emergency accommodation,NSW,2394.0
2023-05-01,Homeless,NSW,12085.0
2023-05-01,At risk of homelessness,NSW,11251.0
2023-04-01,Indigenous,NSW,7348.0
2023-04-01,FDV,NSW,7854.0
2023-04-01,Mental health,NSW,7950.0
2023-04-01,Drug or alcohol issues,NSW,1694.0
2023-04-01,Financial assistance for accommodation,NSW,166.0
2023-04-01,Nights in emergency accommodation,NSW,46767.0
2023-04-01,Emergency accommodation,NSW,2269.0
2023-04-01,Homeless,NSW,11419.0
2023-04-01,At risk of homelessness,NSW,10946.0
2023-03-01,Indigenous,NSW,8013.0
2023-03-01,FDV,NSW,8560.0
2023-03-01,Mental health,NSW,8389.0
2023-03-01,Drug or alcohol issues,NSW,1771.0
2023-03-01,Financial assistance for accommodation,NSW,218.0
2023-03-01,Nights in emergency accommodation,NSW,48902.0
2023-03-01,Emergency accommodation,NSW,2454.0
2023-03-01,Homeless,NSW,11999.0
2023-03-01,At risk of homelessness,NSW,11912.0
2023-02-01,Indigenous,NSW,7748.0
2023-02-01,FDV,NSW,8314.0
2023-02-01,Mental health,NSW,8054.0
2023-02-01,Drug or alcohol issues,NSW,1712.0
2023-02-01,Financial assistance for accommodation,NSW,187.0
2023-02-01,Nights in emergency accommodation,NSW,45283.0
2023-02-01,Emergency accommodation,NSW,2336.0
2023-02-01,Homeless,NSW,11659.0
2023-02-01,At risk of homelessness,NSW,11464.0
2023-01-01,Indigenous,NSW,7484.0
2023-01-01,FDV,NSW,7955.0
2023-01-01,Mental health,NSW,7846.0
2023-01-01,Drug or alcohol issues,NSW,1600.0
2023-01-01,Financial assistance for accommodation,NSW,193.0
2023-01-01,Nights in emergency accommodation,NSW,47445.0
2023-01-01,Emergency accommodation,NSW,2328.0
2023-01-01,Homeless,NSW,11478.0
2023-01-01,At risk of homelessness,NSW,10703.0
2022-12-01,Indigenous,NSW,7274.0
2022-12-01,FDV,NSW,7577.0
2022-12-01,Mental health,NSW,7762.0
2022-12-01,Drug or alcohol issues,NSW,1547.0
2022-12-01,Financial assistance for accommodation,NSW,178.0
2022-12-01,Nights in emergency accommodation,NSW,46492.0
2022-12-01,Emergency accommodation,NSW,2218.0
2022-12-01,Homeless,NSW,11007.0
2022-12-01,At risk of homelessness,NSW,10704.0
2022-11-01,Indigenous,NSW,7741.0
2022-11-01,FDV,NSW,8014.0
2022-11-01,Mental health,NSW,8177.0
2022-11-01,Drug or alcohol issues,NSW,1618.0
2022-11-01,Financial assistance for accommodation,NSW,206.0
2022-11-01,Nights in emergency accommodation,NSW,46133.0
2022-11-01,Emergency accommodation,NSW,2375.0
2022-11-01,Homeless,NSW,11478.0
2022-11-01,At risk of homelessness,NSW,11184.0
2022-10-01,Indigenous,NSW,7442.0
2022-10-01,FDV,NSW,7923.0
2022-10-01,Mental health,NSW,8028.0
2022-10-01,Drug or alcohol issues,NSW,1566.0
2022-10-01,Financial assistance for accommodation,NSW,181.0
2022-10-01,Nights in emergency accommodation,NSW,46883.0
2022-10-01,Emergency accommodation,NSW,2281.0
2022-10-01,Homeless,NSW,11197.0
2022-10-01,At risk of homelessness,NSW,10976.0
2022-09-01,Indigenous,NSW,7347.0
2022-09-01,FDV,NSW,7975.0
2022-09-01,Mental health,NSW,8032.0
2022-09-01,Drug or alcohol issues,NSW,1619.0
2022-09-01,Financial assistance for accommodation,NSW,195.0
2022-09-01,Nights in emergency accommodation,NSW,43512.0
2022-09-01,Emergency accommodation,NSW,2156.0
2022-09-01,Homeless,NSW,11168.0
2022-09-01,At risk of homelessness,NSW,11184.0
2022-08-01,Indigenous,NSW,7426.0
2022-08-01,FDV,NSW,8021.0
2022-08-01,Mental health,NSW,8115.0
2022-08-01,Drug or alcohol issues,NSW,1695.0
2022-08-01,Financial assistance for accommodation,NSW,190.0
2022-08-01,Nights in emergency accommodation,NSW,44637.0
2022-08-01,Emergency accommodation,NSW,2155.0
2022-08-01,Homeless,NSW,11185.0
2022-08-01,At risk of homelessness,NSW,11461.0
2022-07-01,Indigenous,NSW,7197.0
2022-07-01,FDV,NSW,7776.0
2022-07-01,Mental health,NSW,7879.0
2022-07-01,Drug or alcohol issues,NSW,1650.0
2022-07-01,Financial assistance for accommodation,NSW,182.0
2022-07-01,Nights in emergency accommodation,NSW,45265.0
2022-07-01,Emergency accommodation,NSW,2142.0
2022-07-01,Homeless,NSW,10951.0
2022-07-01,At risk of homelessness,NSW,11153.0
2022-06-01,Indigenous,NSW,7483.0
2022-06-01,FDV,NSW,7933.0
2022-06-01,Mental health,NSW,7960.0
2022-06-01,Drug or alcohol issues,NSW,1688.0
2022-06-01,Financial assistance for accommodation,NSW,194.0
2022-06-01,Nights in emergency accommodation,NSW,44095.0
2022-06-01,Emergency accommodation,NSW,2257.0
2022-06-01,Homeless,NSW,11420.0
2022-06-01,At risk of homelessness,NSW,11461.0
2022-05-01,Indigenous,NSW,7379.0
2022-05-01,FDV,NSW,8081.0
2022-05-01,Mental health,NSW,8054.0
2022-05-01,Drug or alcohol issues,NSW,1751.0
2022-05-01,Financial assistance for accommodation,NSW,208.0
2022-05-01,Nights in emergency accommodation,NSW,45729.0
2022-05-01,Emergency accommodation,NSW,2311.0
2022-05-01,Homeless,NSW,11265.0
2022-05-01,At risk of homelessness,NSW,11657.0
2022-04-01,Indigenous,NSW,7174.0
2022-04-01,FDV,NSW,7965.0
2022-04-01,Mental health,NSW,7926.0
2022-04-01,Drug or alcohol issues,NSW,1626.0
2022-04-01,Financial assistance for accommodation,NSW,168.0
2022-04-01,Nights in emergency accommodation,NSW,42948.0
2022-04-01,Emergency accommodation,NSW,2128.0
2022-04-01,Homeless,NSW,10972.0
2022-04-01,At risk of homelessness,NSW,11420.0
2022-03-01,Indigenous,NSW,7543.0
2022-03-01,FDV,NSW,8499.0
2022-03-01,Mental health,NSW,8366.0
2022-03-01,Drug or alcohol issues,NSW,1740.0
2022-03-01,Financial assistance for accommodation,NSW,218.0
2022-03-01,Nights in emergency accommodation,NSW,44406.0
2022-03-01,Emergency accommodation,NSW,2196.0
2022-03-01,Homeless,NSW,11407.0
2022-03-01,At risk of homelessness,NSW,12006.0
2022-02-01,Indigenous,NSW,7303.0
2022-02-01,FDV,NSW,8278.0
2022-02-01,Mental health,NSW,8196.0
2022-02-01,Drug or alcohol issues,NSW,1741.0
2022-02-01,Financial assistance for accommodation,NSW,206.0
2022-02-01,Nights in emergency accommodation,NSW,40188.0
2022-02-01,Emergency accommodation,NSW,2160.0
2022-02-01,Homeless,NSW,11063.0
2022-02-01,At risk of homelessness,NSW,11706.0
2022-01-01,Indigenous,NSW,7076.0
2022-01-01,FDV,NSW,8173.0
2022-01-01,Mental health,NSW,8103.0
2022-01-01,Drug or alcohol issues,NSW,1695.0
2022-01-01,Financial assistance for accommodation,NSW,199.0
2022-01-01,Nights in emergency accommodation,NSW,41958.0
2022-01-01,Emergency accommodation,NSW,1989.0
2022-01-01,Homeless,NSW,10697.0
2022-01-01,At risk of homelessness,NSW,11536.0
2021-12-01,Indigenous,NSW,7182.0
2021-12-01,FDV,NSW,8225.0
2021-12-01,Mental health,NSW,8239.0
2021-12-01,Drug or alcohol issues,NSW,1721.0
2021-12-01,Financial assistance for accommodation,NSW,208.0
2021-12-01,Nights in emergency accommodation,NSW,42530.0
2021-12-01,Emergency accommodation,NSW,1995.0
2021-12-01,Homeless,NSW,10524.0
2021-12-01,At risk of homelessness,NSW,11916.0
2021-11-01,Indigenous,NSW,7571.0
2021-11-01,FDV,NSW,8622.0
2021-11-01,Mental health,NSW,8763.0
2021-11-01,Drug or alcohol issues,NSW,1840.0
2021-11-01,Financial assistance for accommodation,NSW,194.0
2021-11-01,Nights in emergency accommodation,NSW,40415.0
2021-11-01,Emergency accommodation,NSW,1989.0
2021-11-01,Homeless,NSW,11158.0
2021-11-01,At risk of homelessness,NSW,12314.0
2021-10-01,Indigenous,NSW,7331.0
2021-10-01,FDV,NSW,8264.0
2021-10-01,Mental health,NSW,8534.0
2021-10-01,Drug or alcohol issues,NSW,1851.0
2021-10-01,Financial assistance for accommodation,NSW,161.0
2021-10-01,Nights in emergency accommodation,NSW,39443.0
2021-10-01,Emergency accommodation,NSW,1925.0
2021-10-01,Homeless,NSW,11053.0
2021-10-01,At risk of homelessness,NSW,12072.0
2021-09-01,Indigenous,NSW,7270.0
2021-09-01,FDV,NSW,8277.0
2021-09-01,Mental health,NSW,8638.0
2021-09-01,Drug or alcohol issues,NSW,1938.0
2021-09-01,Financial assistance for accommodation,NSW,172.0
2021-09-01,Nights in emergency accommodation,NSW,39144.0
2021-09-01,Emergency accommodation,NSW,1866.0
2021-09-01,Homeless,NSW,11118.0
2021-09-01,At risk of homelessness,NSW,12149.0
2021-08-01,Indigenous,NSW,7436.0
2021-08-01,FDV,NSW,8427.0
2021-08-01,Mental health,NSW,8692.0
2021-08-01,Drug or alcohol issues,NSW,1944.0
2021-08-01,Financial assistance for accommodation,NSW,135.0
2021-08-01,Nights in emergency accommodation,NSW,41337.0
2021-08-01,Emergency accommodation,NSW,1881.0
2021-08-01,Homeless,NSW,11000.0
2021-08-01,At risk of homelessness,NSW,12373.0
2021-07-01,Indigenous,NSW,7485.0
2021-07-01,FDV,NSW,8486.0
2021-07-01,Mental health,NSW,8693.0
2021-07-01,Drug or alcohol issues,NSW,1910.0
2021-07-01,Financial assistance for accommodation,NSW,195.0
2021-07-01,Nights in emergency accommodation,NSW,43446.0
2021-07-01,Emergency accommodation,NSW,2021.0
2021-07-01,Homeless,NSW,11066.0
2021-07-01,At risk of homelessness,NSW,12657.0
2021-06-01,Indigenous,NSW,7654.0
2021-06-01,FDV,NSW,8678.0
2021-06-01,Mental health,NSW,8663.0
2021-06-01,Drug or alcohol issues,NSW,1912.0
2021-06-01,Financial assistance for accommodation,NSW,193.0
2021-06-01,Nights in emergency accommodation,NSW,45686.0
2021-06-01,Emergency accommodation,NSW,2246.0
2021-06-01,Homeless,NSW,11083.0
2021-06-01,At risk of homelessness,NSW,12848.0
2021-05-01,Indigenous,NSW,7702.0
2021-05-01,FDV,NSW,8912.0
2021-05-01,Mental health,NSW,8752.0
2021-05-01,Drug or alcohol issues,NSW,1999.0
2021-05-01,Financial assistance for accommodation,NSW,202.0
2021-05-01,Nights in emergency accommodation,NSW,47191.0
2021-05-01,Emergency accommodation,NSW,2359.0
2021-05-01,Homeless,NSW,11319.0
2021-05-01,At risk of homelessness,NSW,13075.0
2021-04-01,Indigenous,NSW,7538.0
2021-04-01,FDV,NSW,8761.0
2021-04-01,Mental health,NSW,8552.0
2021-04-01,Drug or alcohol issues,NSW,1994.0
2021-04-01,Financial assistance for accommodation,NSW,180.0
2021-04-01,Nights in emergency accommodation,NSW,45842.0
2021-04-01,Emergency accommodation,NSW,2328.0
2021-04-01,Homeless,NSW,11244.0
2021-04-01,At risk of homelessness,NSW,12925.0
2021-03-01,Indigenous,NSW,7632.0
2021-03-01,FDV,NSW,8938.0
2021-03-01,Mental health,NSW,8787.0
2021-03-01,Drug or alcohol issues,NSW,2107.0
2021-03-01,Financial assistance for accommodation,NSW,244.0
2021-03-01,Nights in emergency accommodation,NSW,47391.0
2021-03-01,Emergency accommodation,NSW,2454.0
2021-03-01,Homeless,NSW,11503.0
2021-03-01,At risk of homelessness,NSW,12898.0
2021-02-01,Indigenous,NSW,7678.0
2021-02-01,FDV,NSW,8642.0
2021-02-01,Mental health,NSW,8439.0
2021-02-01,Drug or alcohol issues,NSW,2013.0
2021-02-01,Financial assistance for accommodation,NSW,202.0
2021-02-01,Nights in emergency accommodation,NSW,41364.0
2021-02-01,Emergency accommodation,NSW,2336.0
2021-02-01,Homeless,NSW,11103.0
2021-02-01,At risk of homelessness,NSW,12475.0
2021-01-01,Indigenous,NSW,7097.0
2021-01-01,FDV,NSW,8365.0
2021-01-01,Mental health,NSW,8052.0
2021-01-01,Drug or alcohol issues,NSW,1929.0
2021-01-01,Financial assistance for accommodation,NSW,180.0
2021-01-01,Nights in emergency accommodation,NSW,44224.0
2021-01-01,Emergency accommodation,NSW,2207.0
2021-01-01,Homeless,NSW,10551.0
2021-01-01,At risk of homelessness,NSW,11739.0
2020-12-01,Indigenous,NSW,7100.0
2020-12-01,FDV,NSW,8144.0
2020-12-01,Mental health,NSW,7992.0
2020-12-01,Drug or alcohol issues,NSW,1951.0
2020-12-01,Financial assistance for accommodation,NSW,198.0
2020-12-01,Nights in emergency accommodation,NSW,44498.0
2020-12-01,Emergency accommodation,NSW,2285.0
2020-12-01,Homeless,NSW,10368.0
2020-12-01,At risk of homelessness,NSW,12048.0
2020-11-01,Indigenous,NSW,7453.0
2020-11-01,FDV,NSW,8413.0
2020-11-01,Mental health,NSW,8348.0
2020-11-01,Drug or alcohol issues,NSW,2095.0
2020-11-01,Financial assistance for accommodation,NSW,202.0
